source,listing_id,title,price,currency,year,fuel_type,transmission,creator,sector,mileage,brand,model,door_count,origin,first_owner,fiscal_power,condition,equipment,seller_city,image_folder,url,publication_date
moteur,633020,hyundai santafe 1.6 T-GDi Hybrid essence,"420,000 MAD",MAD,2024,Hybride,Automatique,N/A,Casablanca,"29,000 km",Hyundai,Santa Fe,5,N/A,N/A,8,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, ESP, Intérieur cuir, Navigation GPS, Ordinateur de bord, Radar de recul, Jantes, Limiteur de vitesse, CD / MP3 / Bluetooth",Casablanca,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633020/hyundai-santa-fe.html,2026-08-13 12:44:02
moteur,633018,Volkswagen Tiguan R-Line 2020 | Diesel | DSG,"375,000 MAD",MAD,2020,Diesel,Automatique,N/A,Sale,"180,000 km",Volkswagen,Tiguan,5,N/A,N/A,8,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, ESP, Ordinateur de bord, Radar de recul, Jantes, Limiteur de vitesse, CD / MP3 / Bluetooth",Sale,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633018/volkswagen-tiguan.html,2026-08-13 12:33:05
moteur,633017,Opel Astra k 2020 automatique innovation,"166,000 MAD",MAD,2020,Diesel,Automatique,N/A,Safi,"99,000 km",Opel,Astra,5,N/A,N/A,6,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, ESP, Intérieur cuir, Navigation GPS, Ordinateur de bord, Radar de recul, Jantes, Limiteur de vitesse, CD / MP3 / Bluetooth",Safi,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633017/opel-astra.html,2026-08-13 12:33:04
moteur,633016,dodge challenger RT,"450,000 MAD",MAD,2020,Essence,Automatique,N/A,Agadir,"35,000 km",Daihatsu,Dodge,3,N/A,N/A,10,N/A,État du véhicule,Agadir,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633016/daihatsu-dodge.html,2026-08-13 12:33:04
moteur,633015,Mercedes GLA Pack AMG,Appeler pour le prix,MAD,2018,Diesel,Automatique,N/A,Marrakech,"130,000 km",Mercedes-Benz,Classe GLA,N/A,N/A,N/A,9,N/A,État du véhicule,Marrakech,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633015/mercedes-benz-classe-gla.html,2026-08-13 12:33:04
moteur,633014,Dacia Sandero Essence Manuelle 2023 à Marrakech,"117,000 MAD",MAD,2023,Essence,Manuelle,N/A,Marrakech,"72,000 km",Dacia,Sandero,5,N/A,N/A,6,N/A,"État du véhicule, Climatisation, Radar de recul",Marrakech,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633014/dacia-sandero.html,2026-08-13 12:33:03
moteur,633013,Peugeot 207 Diesel Manuelle 2011 à Fès,"88,000 MAD",MAD,2011,Diesel,Manuelle,N/A,Fes,"198,000 km",Peugeot,207,5,N/A,N/A,6,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Vitres électriques, ESP, Intérieur cuir, Radar de recul, Limiteur de vitesse, CD / MP3 / Bluetooth",Fes,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633013/peugeot-207.html,2026-08-13 12:33:02
moteur,633012,Volkswagen Polo Essence Manuelle 2005 à Casablanca,"50,000 MAD",MAD,2005,Essence,Manuelle,N/A,Casablanca,"196,607 km",Volkswagen,Polo,5,N/A,N/A,8,N/A,"État du véhicule, Airbags, Vitres électriques",Casablanca,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633012/volkswagen-polo.html,2026-08-13 12:33:01
moteur,633011,Touareg extreme plus,Appeler pour le prix,MAD,2019,Diesel,Automatique,N/A,Rabat,"141,000 km",Volkswagen,Touareg,5,N/A,N/A,12,N/A,"État du véhicule, ABS, Climatisation, Airbags, Fermeture centralisée, Régulateur de vitesse, Vitres électriques, ESP, Intérieur cuir, Navigation GPS, Ordinateur de bord, Radar de recul, Jantes, Limiteur de vitesse, CD / MP3 / Bluetooth",Rabat,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633011/volkswagen-touareg.html,2026-08-13 12:33:01
moteur,633010,2027 - Volvo S90 2022 expertisée avec financement,"280,000 MAD",MAD,2022,Diesel,Automatique,N/A,Casablanca,"147,851 km",Volvo,S90,N/A,N/A,N/A,8,N/A,"---

autocash propose à la vente une voiture Volvo - S90, avec la finition 2.0 D4 190 Momentum Pack,à partir de 2 744 DH/mois

Cette voiture appartient à un particulier mais est gérée par autocash.

Elle a fait l'objet d'un contrôle rigoureux et vous pouvez consulter la synthèse de l'expertise sur notre plateforme
autocash vous aide à trouver le financement approprié. Vous pouvez simuler votre crédit, vérifier votre éligibilité sur notre plateforme et nous vous accompagnerons dans toutes les démarches",Casablanca,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/633010/volvo-s90.html,2026-08-13 12:26:38
